Pope Number,Papal Name,Birthday,Birthday2,Conclave Start,Elected Date,Elected Date2,Age at Election,Installed Date,Age at Installation,End of Reign Date,End of Reign Age,Elected Length,Installed Length,Actual Name,Length,Century,Birth Place,Country,Latitude,Longitude
127,Stephen VIII,unknown,unknown,,14 Jul 939,14 Jul 939,,19 Jul 939,,Oct 942,,3.2,3.2,Stefano , (14 Jul 939 Elected - Oct 942 Died),10, Rome                            , Italy             ,41.8967068,12.4822025
128,Marinus II,unknown,unknown,,30 Oct 942,30 Oct 942,,11 Nov 942,,May 946,,3.5,3.4,Marino , (30 Oct 942 Elected - May 946 Died),10, Rome                            , Italy             ,41.8967068,12.4822025
129,Agapitus II,unknown,unknown,,946,946 AD,,10 May 946,,15 Dec 955,,9.9,9.5,Agapito , ( 946 Elected - 15 Dec 955 Died),10, Rome                            , Italy             ,41.8967068,12.4822025
130,John XII,937,937 AD,,16 Dec 955,16 Dec 955,18.9,,,14 May 964,27.3,8.4,,Ottaviano , (16 Dec 955 Elected - 6 Dec 963 Resigned),10, Rome                            , Italy             ,41.8967068,12.4822025
131,Leo VIII,915,915 AD,,4 Dec 963,4 Dec 963,48.9,,,1 Mar 965,50.1,1.2,,Leo , (4 Dec 963 Elected - Did Not Take Effect),10, Rome                            , Italy             ,41.8967068,12.4822025
132,Benedict V,915,915 AD,,22 May 964,22 May 964,49.3,,,4 Jul 966,51.5,2.1,,Benedict , (22 May 964 Elected - 23 Jun 964 Resigned),10, Rome                            , Italy             ,41.8967068,12.4822025
133,John XIII,unknown,unknown,,1 Oct 965,1 Oct 965,,,,6 Sep 972,,6.9,,Giovanni , (1 Oct 965 Elected - 6 Sep 972 Died),10, Rome                            , Italy             ,41.8967068,12.4822025
134,Benedict VI,unknown,unknown,,20 Dec 972,20 Dec 972,,19 Jan 973,,Jul 974,,1.5,1.4,Benedetto , (20 Dec 972 Elected - Jul 974 Died),10, Rome                            , Italy             ,41.8967068,12.4822025
135,Benedict VII,unknown,unknown,,Oct 974,Oct 974,,,,10 Jul 983,,8.7,,Benedetto , (Oct 974 Elected - 10 Jul 983 Died),10, Rome                            , Italy             ,41.8967068,12.4822025
136,John XIV,unknown,unknown,,Dec 983,Dec 983,,,,20 Aug 984,,0.7,,Pietro Canepanova , (Dec 983 Elected - 20 Aug 984 Died),10," Pavia, Lombardy                 ", Italy             ,45.1896589,9.1562563
137,John XV,unknown,unknown,,Aug 985,Aug 985,,Sep 985,,Mar 996,,10.5,10.5,Giovanni , (Aug 985 Elected - Mar 996 Died),10, Rome                            , Italy             ,41.8967068,12.4822025
138,Gregory V,970,970 AD,,,,,3 May 996,26.3,4 Feb 999,29,,2.7,Brun von Kärnten , (3 May 996 Ordained Bishop - 4 Feb 999 Died),10,Stainach,Austria,47.5334398,14.1086736
139,Sylvester II,945,945 AD,,28 Feb 999,28 Feb 999,54.1,2 Apr 999,54.2,12 May 1003,58.3,4.2,4.1,"Gerbert , O.S.B. ", (28 Feb 999 Elected - 12 May 1003 Died),10," Belliac, Auvergne               ", France            ,44.970891,2.502413
140,John XVII,unknown,unknown,,16 May 1003,16 May 1003,,13 Jun 1003,,6 Nov 1003,,0.4,0.3,Siccone , (16 May 1003 Elected - 6 Nov 1003 Died),11, Rome                            , Italy             ,41.8967068,12.4822025
141,John XVIII,unknown,unknown,,25 Dec 1003,25 Dec 1003,,25 Dec 1003,,Jun 1009,,5.4,5.4,Fasano , (25 Dec 1003 Elected - Jun 1009 Died),11, Rome                            , Italy             ,41.8967068,12.4822025
142,Sergius IV,970,970 AD,,31 Jul 1009,31 Jul 1009,39.5,Jul 1010,40.5,12 May 1012,42.3,2.7,1.8,"Pietro , O.S.B. ", (31 Jul 1009 Elected - 12 May 1012 Died),11, Rome                            , Italy             ,41.8967068,12.4822025
143,Benedict VIII,980,980 AD,,18 May 1012,18 May 1012,32.3,,,9 Apr 1024,44.2,11.8,,Teofilatto , (18 May 1012 Elected - 9 Apr 1024 Died),11, Rome                            , Italy             ,41.8967068,12.4822025
144,John XIX,975,975 AD,,19 Apr 1024,19 Apr 1024,49.2,Jul 1024,49.5,1032,57,7.7,7.5,Romano , (19 Apr 1024 Elected - 1032 Died),11, Rome                            , Italy             ,41.8967068,12.4822025
145,Benedict IX,1010,1010 AD,,1032,1032 AD,22,,,Sep 1044,34.6,12.6,,Teofilatto , ( 1032 Elected - Sep 1044 Removed),11, Rome                            , Italy             ,41.8967068,12.4822025
146,Sylvester III,1000,1000 AD,,13 Jan 1045,13 Jan 1045,45,,,10 Mar 1045,45.1,0.1,,Giovanni , (13 Jan 1045 Elected - 10 Mar 1045 Removed),11, Rome                            , Italy             ,41.8967068,12.4822025
147,Benedict IX,1010,1010 AD,,1032,1032 AD,0,,,Sep 1044,0,0,,Teofilatto , (10 Mar 1045 Elected - 1 May 1045 Resigned),11, Rome                            , Italy             ,41.8967068,12.4822025
148,Gregory VI,1000,1000 AD,,5 May 1045,5 May 1045,45.3,5 May 1045,45.3,23 Dec 1046,46.9,1.6,1.6,Giovanni Graziano , (5 May 1045 Elected - 23 Dec 1046 Removed),11, Rome                            , Italy             ,41.8967068,12.4822025
149,Clement II,1005,1005 AD,,24 Dec 1046,24 Dec 1046,41.9,25 Dec 1046,41.9,9 Oct 1047,42.7,0.7,0.7,Suitgar von Morsleben , (24 Dec 1046 Elected - 9 Oct 1047 Died),11," Hornburg, Saxony                ", Germany           ,52.0313955,10.6054241
150,Benedict IX,1010,1010 AD,,1032,1032 AD,0,,,Sep 1044,0,0,,Teofilatto , (Oct 1047 Elected - Jul 1048 Removed),11, Rome                            , Italy             ,41.8967068,12.4822025
151,Damasus II,1000,1000 AD,,17 Jul 1048,17 Jul 1048,48.5,,,9 Aug 1048,48.6,0,,Poppo , (17 Jul 1048 Elected - 9 Aug 1048 Died),11," Pildenau, Bavaria               ", Germany           ,48.3015091,13.127255
152,Leo IX,21 Jun 1002,22 Jun 1002,,12 Feb 1049,12 Feb 1049,46.6,,,19 Apr 1054,51.8,5.1,,St. Bruno Egisheim-Dagsburg , (12 Feb 1049 Elected - 19 Apr 1054 Died),11," Eguisheim, Alsace               ", France            ,48.0437851,7.306893
153,Victor II,1018,1018 AD,,Sep 1054,Sep 1054,36.6,13 Apr 1055,37.2,28 Jul 1057,39.5,2.9,2.2,Gebhard von Calw , (Sep 1054 Elected - 28 Jul 1057 Died),11, Swabia                          , Germany           ,48.3814671,10.7008406
154,Stephen IX (X),1020,1020 AD,,2 Aug 1057,2 Aug 1057,37.5,3 Aug 1057,37.5,29 Mar 1058,38.2,0.6,0.6,"Frédéric de Lorraine, O.S.B. ", (2 Aug 1057 Elected - 29 Mar 1058 Died),11, Lorraine                        , France            ,48.8744233,6.2080932
155,Nicholas II,980,980 AD,,6 Dec 1058,6 Dec 1058,78.9,24 Jan 1059,79,27 Jul 1061,81.5,2.6,2.5,Gérard de Bourgogne , (6 Dec 1058 Elected - 27 Jul 1061 Died),11," Château de Chevron, Savoy       ", France            ,45.4932045,6.4724
156,Alexander II,1018,1018 AD,,30 Sep 1061,30 Sep 1061,43.7,1 Oct 1061,43.7,21 Apr 1073,55.3,11.5,11.5,Anselmo da Baggio , (30 Sep 1061 Elected - 21 Apr 1073 Died),11, Milan                           , Italy             ,45.468503,9.1824027
157,Gregory VII,1020,1020 AD,,22 Apr 1073,22 Apr 1073,53.3,30 Jun 1073,53.4,25 May 1085,65.3,12,11.9,"Ildebrando , O.S.B. ", (22 Apr 1073 Elected - 25 May 1085 Died),11," Sovana, Tuscany                 ", Italy             ,42.6581356,11.6455585
158,Victor III,1026,1026 AD,,24 May 1086,24 May 1086,60.3,9 May 1087,61.3,16 Sep 1087,61.7,1.3,0.3,"Desiderio , O.S.B. ", (24 May 1086 Elected - 16 Sep 1087 Died),11," Benevento, Campania             ", Italy             ,41.1297194,14.7826577
159,Urban II,1035,1035 AD,,12 Mar 1088,12 Mar 1088,53.1,12 Mar 1088,53.1,29 Jul 1099,64.5,11.3,11.3,"Eudes de Lagery, O.S.B. ", (12 Mar 1088 Elected - 29 Jul 1099 Died),11," Châtillon-sur-Marne, Champagne  ", France            ,49.099271,3.757199
160,Paschal II,1050,1050 AD,,13 Aug 1099,13 Aug 1099,49.6,14 Aug 1099,49.6,21 Jan 1118,68,18.4,18.4,"Raniero , O.S.B. ", (13 Aug 1099 Elected - 21 Jan 1118 Died),11," Bleda, Emilia-Romagna           ", Italy             ,44.5967607,11.2186396
161,Gelasius II,1062,1062 AD,,24 Jan 1118,24 Jan 1118,56,10 Mar 1118,56.1,29 Jan 1119,57,1,0.8,"Giovanni da Gaeta, O.S.B. ", (24 Jan 1118 Elected - 29 Jan 1119 Died),12," Gaeta, Lazio                    ", Italy             ,41.2106842,13.5704358
162,Callistus II,unknown,unknown,,2 Feb 1119,2 Feb 1119,,9 Feb 1119,,13 Dec 1124,,5.8,5.8,Guy de Bourgogne , (2 Feb 1119 Elected - 13 Dec 1124 Died),12," Quingey, Franche-Comté          ", France            ,47.103127,5.883235
163,Honorius II,9 Feb 1060,10 Feb 1060,,15 Dec 1124,15 Dec 1124,64.8,21 Dec 1124,64.8,13 Feb 1130,70,5.1,5.1,"Lamberto Scannabecchi, C.R.L. ", (15 Dec 1124 Elected - 13 Feb 1130 Died),12," Fiagnano, Emilia-Romagna        ", Italy             ,44.3527903,11.5610424
164,Innocent II,1082,1082 AD,,14 Feb 1130,14 Feb 1130,48.1,23 Feb 1130,48.1,24 Sep 1143,61.7,13.6,13.5,Gregorio Papareschi , (14 Feb 1130 Elected - 24 Sep 1143 Died),12, Rome                            , Italy             ,41.8967068,12.4822025
165,Celestine II,1085,1085 AD,,26 Sep 1143,26 Sep 1143,58.7,3 Oct 1143,58.7,8 Mar 1144,59.1,0.4,0.4,Guido di Castello , (26 Sep 1143 Elected - 8 Mar 1144 Died),12," Città di Castello, Umbria       ", Italy             ,43.4641726,12.2400485
166,Lucius II,1095,1095 AD,,9 Mar 1144,9 Mar 1144,49.1,12 Mar 1144,49.1,15 Feb 1145,50.1,0.9,0.9,Gerardo Caccianemici Dell’Orso , (9 Mar 1144 Elected - 15 Feb 1145 Died),12, Bologna                         , Italy             ,44.494887,11.3426163
167,Eugene III,1085,1085 AD,,15 Feb 1145,15 Feb 1145,60.1,18 Feb 1145,60.1,8 Jul 1153,68.5,8.3,8.3,"Bl. Bernardo da Pisa, O. Cist. ", (15 Feb 1145 Elected - 8 Jul 1153 Died),12," Pisa, Tuscany                   ", Italy             ,43.7228385,10.4017581
168,Anastasius IV,1073,1073 AD,,8 Jul 1153,8 Jul 1153,80.5,12 Jul 1153,80.5,3 Dec 1154,81.9,1.4,1.3,"Corrado di Suburra, C.R.L. ", (8 Jul 1153 Elected - 3 Dec 1154 Died),12, Rome                            , Italy             ,41.8967068,12.4822025
169,Hadrian IV,1100,1100 AD,,4 Dec 1154,4 Dec 1154,54.9,5 Dec 1154,54.9,1 Sep 1159,59.6,4.7,4.7,Nicholas Breakspear , (4 Dec 1154 Elected - 1 Sep 1159 Died),12," Abbots Langley, Hertfordshire    ", England           ,51.707275,-0.4183259
170,Alexander III,1100,1100 AD,,7 Sep 1159,7 Sep 1159,59.6,20 Sep 1159,59.7,30 Aug 1181,81.6,21.9,21.9,"Rolando Bandinelli, C.R.L. ", (7 Sep 1159 Elected - 30 Aug 1181 Died),12," Siena, Tuscany                  ", Italy             ,43.3184741,11.3305812
171,Lucius III,1100,1100 AD,,1 Sep 1181,1 Sep 1181,81.6,6 Sep 1181,81.6,25 Nov 1185,85.8,4.2,4.2,"Ubaldo Allucingoli, O. Cist. ", (1 Sep 1181 Elected - 25 Nov 1185 Died),12," Lucca, Tuscany                  ", Italy             ,43.8430391,10.5156532
172,Urban III,1120,1120 AD,,25 Nov 1185,25 Nov 1185,65.8,1 Dec 1185,65.9,20 Oct 1187,67.8,1.9,1.8,Uberto Crivelli , (25 Nov 1185 Elected - 20 Oct 1187 Died),12,Cuggiono, Italy             ,45.5064121,8.8169041
173,Gregory VIII,1105,1105 AD,,21 Oct 1187,21 Oct 1187,82.8,25 Oct 1187,82.8,17 Dec 1187,82.9,0.1,0.1,Alberto de Morra , (21 Oct 1187 Elected - 17 Dec 1187 Died),12," Benevento, Campania             ", Italy             ,41.1297194,14.7826577
174,Clement III,1130,1130 AD,,19 Dec 1187,19 Dec 1187,57.9,7 Jan 1188,58,27 Mar 1191,61.2,3.2,3.2,Paolo Scolari , (19 Dec 1187 Elected - 27 Mar 1191 Died),12, Rome                            , Italy             ,41.8967068,12.4822025
175,Celestine III,1105,1105 AD,,10 Apr 1191,10 Apr 1191,86.2,14 Apr 1191,86.2,8 Jan 1198,93,6.7,6.7,Giacinto Bobone , (10 Apr 1191 Elected - 8 Jan 1198 Died),12, Rome                            , Italy             ,41.8967068,12.4822025
176,Innocent III,1160,1160 AD,,8 Jan 1198,8 Jan 1198,38,22 Feb 1198,38.1,16 Jul 1216,56.5,18.5,18.4,Lotario dei conti di Segni , (8 Jan 1198 Elected - 16 Jul 1216 Died),12," Gavignano, Lazio                ", Italy             ,41.7005399,13.0493361
177,Honorius III,1150,1150 AD,,18 Jul 1216,18 Jul 1216,66.5,24 Jul 1216,66.5,18 Mar 1227,77.2,10.6,10.6,Cencio , (18 Jul 1216 Elected - 18 Mar 1227 Died),13, Rome                            , Italy             ,41.8967068,12.4822025
178,Gregory IX,1170,1170 AD,,19 Mar 1227,19 Mar 1227,57.2,11 Apr 1227,57.2,22 Aug 1241,71.6,14.4,14.3,Ugolino dei conti di Segni , (19 Mar 1227 Elected - 22 Aug 1241 Died),13," Anagni, Lazio                   ", Italy             ,41.7452696,13.1513636
179,Celestine IV,1180,1180 AD,,25 Oct 1241,25 Oct 1241,61.8,,,10 Nov 1241,61.8,0,,Goffredo Castiglioni , (25 Oct 1241 Elected - 10 Nov 1241 Died),13, Milan                           , Italy             ,45.468503,9.1824027
180,Innocent IV,1195,1195 AD,,25 Jun 1243,25 Jun 1243,48.4,28 Jun 1243,48.4,7 Dec 1254,59.9,11.4,11.4,Sinibaldo Fieschi , (25 Jun 1243 Elected - 7 Dec 1254 Died),13, Genoa                           , Italy             ,44.4071448,8.9347381
181,Alexander IV,1185,1185 AD,,12 Dec 1254,12 Dec 1254,69.9,20 Dec 1254,69.9,25 May 1261,76.3,6.4,6.4,Rinaldo Conti di Segni , (12 Dec 1254 Elected - 25 May 1261 Died),13," Jenne, Lazio                    ", Italy             ,41.886985,13.1682886
182,Urban IV,1195,1195 AD,,29 Aug 1261,29 Aug 1261,66.6,,,2 Oct 1264,69.7,3,,Jacques Pantaléon , (29 Aug 1261 Elected - 2 Oct 1264 Died),13," Troyes, Champagne               ", France            ,48.2975056,4.0746921
183,Clement IV,23 Nov 1190,24 Nov 1190,,5 Feb 1265,5 Feb 1265,74.2,22 Feb 1265,74.2,29 Nov 1268,78,3.8,3.7,Gui Foucois , (5 Feb 1265 Elected - 29 Nov 1268 Died),13," Saint-Gilles, Languedoc         ", France            ,43.677079,4.433703
184,Gregory X,1210,1210 AD,,1 Sep 1271,1 Sep 1271,61.6,27 Mar 1272,62.2,10 Jan 1276,66,4.3,3.7,Bl. Tedaldo Visconti , (1 Sep 1271 Elected - 10 Jan 1276 Died),13," Piacenza, Emilia-Romagna        ", Italy             ,45.0526415,9.6936883
185,Innocent V,1224,1224 AD,,21 Jan 1276,21 Jan 1276,52,22 Feb 1276,52.1,22 Jun 1276,52.4,0.4,0.3,"Bl. Pierre de Tarentaise, O.P. ", (21 Jan 1276 Elected - 22 Jun 1276 Died),13," Champagny, Savoy                ", France            ,45.4547979,6.692988
186,Hadrian V,1210,1210 AD,,11 Jul 1276,11 Jul 1276,66.5,,,18 Aug 1276,66.6,0.1,,Ottobono Fieschi , (11 Jul 1276 Elected - 18 Aug 1276 Died),13, Genoa                           , Italy             ,44.4071448,8.9347381
187,John XXI,1210,1210 AD,,8 Sep 1276,8 Sep 1276,66.6,20 Sep 1276,66.7,20 May 1277,67.3,0.6,0.6,João Pedro Julião , (8 Sep 1276 Elected - 20 May 1277 Died),13, Lisbon                          , Portugal          ,38.7222524,-9.1393366
188,Nicholas III,1210,1210 AD,,25 Nov 1277,25 Nov 1277,67.8,Dec 1277,67.9,22 Aug 1280,70.6,2.7,2.7,Giovanni Gaetano Orsini , (25 Nov 1277 Elected - 22 Aug 1280 Died),13, Rome                            , Italy             ,41.8967068,12.4822025
189,Martin IV,1210,1210 AD,,22 Feb 1281,22 Feb 1281,71.1,23 Mar 1281,71.2,28 Mar 1285,75.2,4,4,Simon de Brion , (22 Feb 1281 Elected - 28 Mar 1285 Died),13," Montpensier, Auvergne           ", France            ,46.035754,3.219443
190,Honorius IV,1210,1210 AD,,2 Apr 1285,2 Apr 1285,75.2,20 May 1285,75.3,3 Apr 1287,77.2,2,1.8,Giacomo Savelli , (2 Apr 1285 Elected - 3 Apr 1287 Died),13, Rome                            , Italy             ,41.8967068,12.4822025
191,Nicholas IV,30 Sep 1227,31 Sep 1227,,22 Feb 1288,22 Feb 1288,60.3,25 Feb 1288,60.4,4 Apr 1292,64.5,4.1,4.1,"Girolamo Masci, O.F.M. ", (22 Feb 1288 Elected - 4 Apr 1292 Died),13," Lisciano, Marche                ", Italy             ,42.830306,13.6017271
192,Celestine V,1215,1215 AD,,7 Jul 1294,7 Jul 1294,79.5,29 Aug 1294,79.6,13 Dec 1294,79.9,0.4,0.2,"St. Pietro del Morrone (Angelerio), O.S.B. ", (7 Jul 1294 Elected - 13 Dec 1294 Resigned),13," Sant'Angelo Limosano, Molise    ", Italy             ,41.6926487,14.6040183
193,Boniface VIII,1230,1230 AD,,24 Dec 1294,24 Dec 1294,64.9,23 Jan 1295,65,11 Oct 1303,73.7,8.7,8.7,Benedetto Caetani , (24 Dec 1294 Elected - 11 Oct 1303 Died),13," Anagni, Lazio                   ", Italy             ,41.7452696,13.1513636
194,Benedict XI,1240,1240 AD,,22 Oct 1303,22 Oct 1303,63.8,27 Oct 1303,63.8,7 Jul 1304,64.5,0.7,0.6,"Bl. Niccolò Boccasini, O.P. ", (22 Oct 1303 Elected - 7 Jul 1304 Died),14," Treviso, Veneto                 ", Italy             ,45.6669338,12.2430608
195,Clement V,1264,1264 AD,,5 Jun 1305,5 Jun 1305,41.4,14 Nov 1305,41.8,20 Apr 1314,50.3,8.8,8.4,Bertrand de Got , (5 Jun 1305 Elected - 20 Apr 1314 Died),14," Villandraut, Gascony            ", France            ,44.457754,-0.373185
196,John XXII,1244,1244 AD,,7 Aug 1316,7 Aug 1316,72.5,5 Sep 1316,72.6,4 Dec 1334,90.9,18.3,18.2,Jacques d’Euse , (7 Aug 1316 Elected - 4 Dec 1334 Died),14," Cahors, Quercy                  ", France            ,44.396476,1.4652019
197,Benedict XII,1280,1280 AD,,20 Dec 1334,20 Dec 1334,54.9,8 Jan 1335,55,25 Apr 1342,62.3,7.3,7.2,"Jacques Fournier, O. Cist. ", (20 Dec 1334 Elected - 25 Apr 1342 Died),14," Saverdun, Ariège                ", France            ,43.2352605,1.5754413
198,Clement VI,1290,1290 AD,,7 May 1342,7 May 1342,52.3,19 May 1342,52.3,6 Dec 1352,62.9,10.5,10.5,"Pierre Roger, O.S.B. ", (7 May 1342 Elected - 6 Dec 1352 Died),14," Rosiers-d'Égletons, Limousin    ", France            ,45.406018,2.0463779
199,Innocent VI,1282,1282 AD,,18 Dec 1352,18 Dec 1352,70.9,30 Dec 1352,70.9,12 Sep 1362,80.6,9.7,9.7,Étienne Aubert , (18 Dec 1352 Elected - 12 Sep 1362 Died),14," Les Monts, Limousin             ", France            ,45.909138,1.16044
200,Urban V,1310,1310 AD,,28 Sep 1362,28 Sep 1362,52.7,6 Nov 1362,52.8,19 Dec 1370,60.9,8.2,8.1,"Bl. Guillaume Grimoard, O.S.B. ", (28 Sep 1362 Elected - 19 Dec 1370 Died),14," Grizac, Languedoc               ", France            ,44.342954,3.698378
201,Gregory XI,1329,1329 AD,,30 Dec 1370,30 Dec 1370,41.9,3 Jan 1371,42,27 Mar 1378,49.2,7.2,7.2,Pierre Roger de Beaufort , (30 Dec 1370 Elected - 27 Mar 1378 Died),14," Rosiers-d'Égletons, Limousin    ", France            ,45.406018,2.0463779
202,Urban VI,1318,1318 AD,,8 Apr 1378,8 Apr 1378,60.2,18 Apr 1378,60.2,15 Oct 1389,71.7,11.5,11.4,Bartolomeo Prignano , (8 Apr 1378 Elected - 15 Oct 1389 Died),14,Itri, Italy             ,41.2904429,13.5320111
203,Boniface IX,1350,1350 AD,,2 Nov 1389,2 Nov 1389,39.8,9 Nov 1389,39.8,1 Oct 1404,54.7,14.9,14.8,Pietro Tomacelli , (2 Nov 1389 Elected - 1 Oct 1404 Died),14, Naples                          , Italy             ,40.8517746,14.2681244
204,Innocent VII,1336,1336 AD,10 Oct 1404,17 Oct 1404,17 Oct 1404,68.7,11 Nov 1404,68.8,6 Nov 1406,70.8,2,1.9,Cosmato Gentile de’ Migliorati , (17 Oct 1404 Elected - 6 Nov 1406 Died),15," Sulmona, Abruzzo                ", Italy             ,42.0512604,13.9277644
205,Gregory XII,1327,1327 AD,18 Nov 1406,30 Nov 1406,30 Nov 1406,79.9,19 Dec 1406,79.9,4 Jul 1415,88.5,8.5,8.5,Angelo Correr {Corrario} , (30 Nov 1406 Elected - 4 Jul 1415 Resigned),15, Venice                          , Italy             ,45.440379,12.3159547
206,Martin V,1368,1368 AD,8 Nov 1417,11 Nov 1417,11 Nov 1417,49.8,21 Nov 1417,49.8,20 Feb 1431,63.1,13.2,13.2,Oddone Colonna , (11 Nov 1417 Elected - 20 Feb 1431 Died),15," Genazzano, Lazio                ", Italy             ,41.8289225,12.9727418
207,Eugene IV,1383 AD,1383 AD,2 Mar 1431,3 Mar 1431,3 Mar 1431,48.1,11 Mar 1431,48.1,23 Feb 1447,64.1,15.9,15.9,"Gabriele Condulmer, C.R.S.A. ", (3 Mar 1431 Elected - 23 Feb 1447 Died),15, Venice                          , Italy             ,45.440379,12.3159547
208,Nicholas V,15 Nov 1397,15 Nov 1397,4 Mar 1447,6 Mar 1447,6 Mar 1447,49.3,19 Mar 1447,49.3,24 Mar 1455,57.3,8,8,Tommaso Parentucelli , (6 Mar 1447 Elected - 24 Mar 1455 Died),15," Sarzana, Liguria                ", Italy             ,44.1131854,9.9596606
209,Callistus III,31 Dec 1378,31 Dec 1378,4 Apr 1455,8 Apr 1455,8 Apr 1455,76.2,20 Apr 1455,76.3,6 Aug 1458,79.5,3.3,3.2,Alfonso de Borja y Cabanilles , (8 Apr 1455 Elected - 6 Aug 1458 Died),15," Xàtiva, Valencia                ", Spain             ,39.4738338,-0.3756348
210,Pius II,18 Oct 1405,18 Oct 1405,16 Aug 1458,19 Aug 1458,19 Aug 1458,52.8,3 Sep 1458,52.8,14 Aug 1464,58.8,5.9,5.9,Enea Silvio Piccolomini , (19 Aug 1458 Elected - 14 Aug 1464 Died),15," Corsignano, Tuscany             ", Italy             ,43.3930023,11.3448787
211,Paul II,23 Feb 1417,23 Feb 1417,27 Aug 1464,30 Aug 1464,30 Aug 1464,47.5,16 Sep 1464,47.5,26 Jul 1471,54.4,6.9,6.8,Pietro Barbo , (30 Aug 1464 Elected - 26 Jul 1471 Died),15, Venice                          , Italy             ,45.440379,12.3159547
212,Sixtus IV,21 Jul 1414,21 Jul 1414,6 Aug 1471,9 Aug 1471,9 Aug 1471,57,25 Aug 1471,57,12 Aug 1484,70,13,12.9,"Francesco della Rovere, O.F.M. ", (9 Aug 1471 Elected - 12 Aug 1484 Died),15," Celle Ligure, Liguria           ", Italy             ,44.3425442,8.5450705
213,Innocent VIII,1432 AD,1432 AD,26 Aug 1484,29 Aug 1484,29 Aug 1484,52.6,12 Sep 1484,52.6,25 Jul 1492,60.5,7.9,7.8,Giovanni Battista Cibo , (29 Aug 1484 Elected - 25 Jul 1492 Died),15, Genoa                           , Italy             ,44.4071448,8.9347381
214,Alexander VI,1431 AD,1431 AD,6 Aug 1492,11 Aug 1492,11 Aug 1492,61.6,26 Aug 1492,61.6,18 Aug 1503,72.6,11,10.9,Rodrigo de Borja , (11 Aug 1492 Elected - 18 Aug 1503 Died),15," Xàtiva, Valencia                ", Spain             ,39.4738338,-0.3756348
215,Pius III,29 May 1439,29 May 1439,16 Sep 1503,22 Sep 1503,22 Sep 1503,64.3,8 Oct 1503,64.3,18 Oct 1503,64.3,0,0,Francesco Todeschini-Piccolomini , (22 Sep 1503 Elected - 18 Oct 1503 Died),16," Siena, Tuscany                  ", Italy             ,43.3184741,11.3305812
216,Julius II,5 Dec 1443,5 Dec 1443,31 Oct 1503,1 Nov 1503,1 Nov 1503,59.9,26 Nov 1503,59.9,21 Feb 1513,69.2,9.3,9.2,Giuliano della Rovere , (1 Nov 1503 Elected - 21 Feb 1513 Died),16," Albisola, Liguria               ", Italy             ,44.3362388,8.5099271
217,Leo X,11 Dec 1475,11 Dec 1475,4 Mar 1513,9 Mar 1513,9 Mar 1513,37.2,19 Mar 1513,37.2,1 Dec 1521,45.9,8.7,8.7,Giovanni de’ Medici , (9 Mar 1513 Elected - 1 Dec 1521 Died),16, Florence                        , Italy             ,43.7699685,11.2576706
218,Hadrian VI,2 Mar 1459,2 Mar 1459,27 Dec 1521,9 Jan 1522,9 Jan 1522,62.8,31 Aug 1522,63.4,14 Sep 1523,64.5,1.6,1,Adriaan Florenszoon Dedel , (9 Jan 1522 Elected - 14 Sep 1523 Died),16, Utrecht                         , Netherlands       ,52.0919255,5.1229572
219,Clement VII,26 May 1478,26 May 1478,1 Oct 1523,19 Nov 1523,19 Nov 1523,45.4,26 Nov 1523,45.5,25 Sep 1534,56.3,10.8,10.8,Giulio de’ Medici , (19 Nov 1523 Elected - 25 Sep 1534 Died),16, Florence                        , Italy             ,43.7699685,11.2576706
220,Paul III,29 Feb 1468,29 Feb 1468,11 Oct 1534,13 Oct 1534,13 Oct 1534,66.6,3 Nov 1534,66.6,10 Nov 1549,81.6,15,15,Alessandro Farnese , (13 Oct 1534 Elected - 10 Nov 1549 Died),16," Canino, Lazio                   ", Italy             ,42.4639563,11.7493871
221,Julius III,10 Sep 1487,10 Sep 1487,29 Nov 1549,7 Feb 1550,7 Feb 1550,62.4,22 Feb 1550,62.4,23 Mar 1555,67.5,5.1,5,Giovanni Maria Ciocchi del Monte , (7 Feb 1550 Elected - 23 Mar 1555 Died),16,Monte San Savino, Italy             ,43.3319727,11.724865
222,Marcellus II,6 May 1501,6 May 1501,5 Apr 1555,9 Apr 1555,9 Apr 1555,53.9,10 Apr 1555,53.9,1 May 1555,53.9,0,0,Marcello Cervini , (9 Apr 1555 Elected - 1 May 1555 Died),16," Montefano, Marche               ", Italy             ,43.4125546,13.4410498
223,Paul IV,28 Jun 1476,28 Jun 1476,15 May 1555,23 May 1555,23 May 1555,78.9,26 May 1555,78.9,18 Aug 1559,83.1,4.2,4.2,Gian Pietro Carafa , (23 May 1555 Elected - 18 Aug 1559 Died),16," Capriglia Irpina, Campania      ", Italy             ,40.9603752,14.7755346
224,Pius IV,31 Mar 1499,31 Mar 1499,5 Sep 1559,25 Dec 1559,25 Dec 1559,60.7,6 Jan 1560,60.7,9 Dec 1565,66.6,5.9,5.9,Giovanni Angelo de’ Medici , (25 Dec 1559 Elected - 9 Dec 1565 Died),16, Milan                           , Italy             ,45.468503,9.1824027
225,Pius V,17 Jan 1504,17 Jan 1504,20 Dec 1565,7 Jan 1566,7 Jan 1566,61.9,17 Jan 1566,62,1 May 1572,68.2,6.3,6.2,"St. Antonio (Michele) Ghislieri, O.P. ", (7 Jan 1566 Elected - 1 May 1572 Died),16," Bosco Marengo, Piedmont         ", Italy             ,44.822541,8.6786114
